id,road,lrp,chainage,lat,lon,name,model_type,structure_type,length,condition
379,N1,LRP173B,170.681,22.868416,91.5431663,Box culvert,bridge,Box Culvert,281.99999999998226,A
380,N1,LRP174,170.963,22.8661111,91.5439997,Km post missing,link,,575.9999999999934,N/A
381,N1,LRP174A,171.539,22.86111772310757,91.54512584501992,Box culvert,bridge,Box Culvert,177.00000000002092,A
382,N1,LRP174B,171.716,22.8595833,91.5454719,Box culvert,bridge,Box Culvert,246.99999999998568,A
383,N1,LRP175,171.963,22.8575556,91.5456386,Km post missing,link,,164.99999999999204,N/A
384,N1,LRP175A,172.128,22.856,91.5457219,Box culvert,bridge,Box Culvert,113.00000000002797,A
385,N1,LRP175B,172.241,22.8550556,91.545833,Box culvert,bridge,Culvert,721.99999999998,A
386,N1,LRP176,172.963,22.8486663,91.5463608,Km post missing,link,,16.999999999995907,N/A
387,N1,LRP176A,172.98,22.8485274,91.5463886,Bridge start,bridge,Box Culvert,10.000000000019327,A
388,N1,LRP176B,172.99,22.8484441,91.5464163,Bridge end,bridge,Box Culvert,379.99999999999545,A
389,N1,LRP176C,173.37,22.8452219,91.5475274,Box culvert,bridge,Box Culvert,240.0000000000091,A
390,N1,LRP176D,173.61,22.8432497,91.5482219,Box culvert,bridge,Box Culvert,352.9999999999802,A
391,N1,LRP177,173.963,22.8401941,91.5490552,Km post missing,link,,313.99999999999295,N/A
392,N1,LRP177A,174.277,22.8372497,91.5492497,Pipe culvert,bridge,Box Culvert,686.000000000007,A
393,N1,LRP178,174.963,22.8313882,91.5503611,Km post missing,link,,872.0000000000141,N/A
394,N1,LRP178A,175.835,22.8239438,91.5528333,Box culvert,bridge,Box Culvert,127.9999999999859,C
395,N1,LRP179,175.963,22.8228049,91.5531389,Km post missing,link,,1000.0,N/A
396,N1,LRP180,176.963,22.8141389,91.5555833,Km post missing,link,,340.0000000000034,N/A
397,N1,LRP180A,177.303,22.8110556,91.5563889,Box culvert,bridge,Box Culvert,406.0000000000059,B
398,N1,LRP180B,177.709,22.808,91.5579167,Box culvert,bridge,Box Culvert,252.00000000000955,B
399,N1,LRP180C,177.961,22.8059722,91.5589167,Box culvert,bridge,Box Culvert,1.999999999981128,B
