bridge_id,bridge_name,road_name,condition,length,total_wait_time
717,Box culvert,N1,A,62.00000000001182,9159.854248774149
719,Box culvert,N1,A,438.9999999999645,273.19186513804374
721,Box culvert,N1,A,136.0000000000241,8489.731559521373
723,Box culvert,N1,A,96.99999999998,5119.386543107802
725,Box culvert,N1,A,377.9999999999859,128.46337904473245
726,Bridge start,N1,A,55.00000000000682,7117.444083052269
728,Bridge end,N1,A,899.0000000000009,185.22019505459429
730,Box culvert,N1,A,923.0000000000018,331.9410227486666
732,Box culvert,N1,A,48.99999999997817,5164.395874216159
734,Box culvert,N1,A,540.0000000000205,334.50593633672725
735,Box culvert,N1,A,16.000000000019554,3484.354595575244
737,Box culvert,N1,A,16.999999999995907,2608.7997331294514
738,Box culvert,N1,A,434.0000000000259,303.6852933929315
739,Bridge start,N1,A,60.000000000002274,7963.814756712793
740,Bridge end,N1,A,19.000000000005457,5223.794876813016
742,Box culvert,N1,A,406.0000000000059,333.8059602413053
743,Bridge start,N1,A,24.00000000000091,5421.515412397675
744,Bridge end,N1,A,389.00000000001,202.281037300668
746,Bridge start,N1,A,25.000000000034102,6091.09467063159
747,Bridge end,N1,A,253.99999999996223,306.7194599466668
748,Box culvert,N1,A,342.0000000000414,299.5610428850094
749,Box culvert,N1,A,132.99999999998136,7548.270468151848
753,Box culvert,N1,A,264.9999999999864,201.46548820994508
755,Bridge start,N1,A,21.000000000015007,4840.5508301151785
756,Bridge end,N1,A,372.0000000000141,284.5754020792527
757,Box culvert,N1,A,351.99999999997544,242.77263608042867
759,Box culvert,N1,A,521.000000000015,313.3158991521095
760,Bridge start,N1,A,21.000000000015007,3290.035738794427
761,Bridge end,N1,A,302.99999999999727,246.30436208290647
763,Box culvert,N1,A,538.9999999999873,237.99054639383678
765,Box culvert,N1,A,252.9999999999859,163.10553241572342
766,Box culvert,N1,A,156.99999999998226,8319.502341925678
768,Box culvert,N1,A,264.00000000001,310.371671141425
769,Box culvert,N1,A,672.999999999945,441.1951166486971
771,Box culvert,N1,A,302.99999999999727,299.38019961403995
772,Box culvert,N1,A,146.99999999999136,10342.96124231497
774,Box culvert,N1,A,510.99999999996726,239.67378536379653
775,Box culvert,N1,A,270.00000000003865,245.42818136713822
780,Box culvert,N1,A,281.99999999998226,293.82613040492714
782,Box culvert,N1,A,178.99999999997362,5268.797596467487
784,Box culvert,N1,A,500.9999999999764,248.3941813188513
786,Box culvert,N1,A,93.00000000001774,8265.993090649079
788,Bridge start,N1,A,59.00000000002592,4874.671313027906
789,Bridge end,N1,A,723.9999999999895,154.93826071402535
791,Box culvert,N1,A,228.999999999985,314.29827819837385
792,Box culvert,N1,A,764.9999999999864,287.5410416783808
794,Box culvert,N1,A,322.0000000000028,264.1681129505457
795,Box culvert,N1,A,482.0000000000277,149.66167848048573
797,Box culvert,N1,A,170.99999999999227,6691.80799539749
800,Bridge start,N1,A,48.00000000000182,4944.033811922465
801,Bridge end,N1,A,516.9999999999959,124.2862236582519
802,Box culvert,N1,A,149.0000000000009,5433.45337323302
804,Box culvert,N1,A,831.0000000000173,232.07984252354694
807,Bridge start,N1,A,14.999999999986358,3888.9293417784083
808,Bridge end,N1,A,10.000000000047748,2331.110682790681
811,Box culvert,N1,A,100.00000000002274,5203.193896120765
812,Box culvert,N1,A,137.9999999999768,8056.525300643804
814,Box culvert,N1,B,819.0000000000168,391.83010610750597
816,Box culvert,N1,A,224.9999999999659,267.121906234562
817,Box culvert,N1,A,195.00000000005,6952.2408091384095
819,Box culvert,N1,A,293.0000000000064,227.1996787125134
821,Bridge start,N1,C,310.9999999999786,1619.3297292636612
822,Bridge end,N1,C,428.9999999999736,1061.7125295669935
828,Box culvert,N1,A,140.9999999999627,4768.687482311404
830,Box culvert,N1,A,680.0000000000068,212.89745373618754
831,Box culvert,N1,A,181.00000000004,8254.345597769096
832,Bridge start,N1,A,38.99999999998727,5888.9301179672775
833,Bridge end,N1,A,69.00000000001683,7252.392107008092
835,Box culvert,N1,A,163.0000000000109,4634.285410620464
838,Pipe Culvert,N1,A,612.9999999999995,274.4183010507919
840,Box culvert,N1,A,489.0000000000328,317.6242335315888
842,Box culvert,N1,A,697.9999999999791,253.914452883126
846,Bridge start,N1,A,61.99999999995498,6221.858758122333
847,Bridge end,N1,A,423.0000000000018,134.3936497743915
848,Box culvert,N1,A,34.00000000004866,4625.943448470546
851,Box culvert,N1,A,143.0000000000291,8049.685920146156
853,Bridge start,N1,A,55.99999999998317,8043.736563650833
854,Bridge end,N1,C,783.9999999999918,863.3956978159154
856,Bridge start,N1,C,62.00000000001182,34057.37897778684
857,Bridge end,N1,A,17.99999999997226,5395.386017373862
858,Box culvert,N1,A,251.0000000000332,300.68733345198075
859,Box culvert,N1,A,447.00000000000273,234.20458132914894
863,Box culvert,N1,B,266.00000000001955,301.5174531661285
865,Bridge start,N1,A,50.99999999998772,7437.323196952657
866,Bridge end,N1,A,58.99999999996908,9464.0536854541
869,Box culvert,N1,A,179.99999999994998,6248.781733395934
870,Box culvert,N1,A,797.0000000000255,202.9661138715251
872,Box culvert,N1,A,341.0000000000082,198.12923557430798
873,Box culvert,N1,A,601.9999999999754,173.2945302036285
875,Box culvert,N1,A,326.0000000000218,284.65714102595376
876,Box culvert,N1,A,503.9999999999623,226.65302628910604
878,Box culvert,N1,C,168.00000000000637,37363.16821856681
879,Box culvert,N1,A,730.9999999999945,375.56115749749205
881,Box culvert,N1,A,840.9999999999513,169.5980334810749
883,Box Culvert,N1,A,326.0000000000218,157.70093459606105
885,Box Culvert,N1,A,120.9999999999809,4115.5345266733775
886,Box Culvert,N1,A,746.0000000000377,216.96381269314523
888,Bridge start,N1,A,52.00000000002092,6126.89269068646
889,Bridge end,N1,A,423.0000000000018,233.34935736624035
890,Bridge start,N1,A,45.99999999999227,5908.855119269151
891,Bridge end,N1,A,182.99999999999272,7942.7999664346435
895,Box culvert,N1,A,212.00000000004596,202.87265631756017
896,Box culvert,N1,A,343.9999999999941,194.61611047677795
897,Bridge start,N1,A,19.99999999998181,4665.437181337265
898,Bridge end,N1,A,139.00000000001,6705.729619719271
899,Box culvert,N1,A,161.99999999997772,8169.948127980203
901,Box culvert,N1,A,423.9999999999782,170.64397236923878
902,Box culvert,N1,A,27.000000000043656,2551.6308870842763
904,Box culvert,N1,A,204.00000000000773,253.38708224663773
905,Box culvert,N1,A,283.9999999999918,193.15699054730806
907,Box culvert,N1,A,88.99999999999864,8407.865120416924
