bridge_id,bridge_name,road_name,condition,total_wait_time
1158,Bridge end,N1,A,0.0
1159,Box culvert,N1,B,0.0
1161,Box culvert,N1,B,0.0
1162,Box culvert,N1,B,0.0
1164,Box culvert,N1,B,0.0
1165,Box culvert,N1,A,0.0
1166,Box culvert,N1,A,0.0
1167,Box culvert,N1,C,3945.4620521775796
1168,Box culvert,N1,A,0.0
1169,Box culvert,N1,B,0.0
1171,Box culvert,N1,A,0.0
1172,Box culvert,N1,A,0.0
1173,Box culvert,N1,A,0.0
1174,Box culvert,N1,A,0.0
1176,Bridge start,N1,B,0.0
1177,Bridge end,N1,B,0.0
1179,Box culvert,N1,A,0.0
1180,Box culvert,N1,A,0.0
1181,Box culvert,N1,A,0.0
1182,Box culvert,N1,A,0.0
1184,Box culvert,N1,C,5402.032926737759
1185,Box culvert,N1,C,170.8328650938477
1186,Box culvert,N1,A,0.0
1187,Box culvert,N1,A,0.0
1188,Box culvert,N1,A,0.0
1190,Box culvert,N1,A,0.0
1191,Bridge start,N1,A,0.0
1192,Bridge end,N1,A,0.0
1193,Box culvert,N1,A,0.0
1194,Box culvert,N1,A,0.0
1196,Box culvert,N1,A,0.0
1197,Box culvert,N1,A,0.0
1198,Box culvert / Box culvert,N1,A,0.0
1200,Box culvert,N1,A,0.0
1201,Box culvert,N1,A,0.0
1202,Box culvert,N1,A,0.0
1203,Box culvert,N1,C,141.37422961050174
1204,Box culvert,N1,A,0.0
1206,Box culvert,N1,A,0.0
1207,Box culvert,N1,B,0.0
1208,Box culvert,N1,C,181.58651515109108
1209,Box culvert,N1,A,0.0
1211,Box culvert,N1,A,0.0
1212,Box culvert,N1,A,0.0
1213,Box culvert,N1,B,0.0
1214,Bridge start,N1,B,0.0
1215,Bridge end,N1,B,0.0
1217,Box culvert,N1,B,0.0
1218,Bridge start,N1,C,2413.30858383969
1219,Bridge end,N1,C,5009.263641270759
1221,Box culvert,N1,C,3670.947889700392
1222,Box culvert,N1,C,194.5831014565864
1223,Box culvert,N1,C,184.49623364730277
1224,Box culvert,N1,C,4807.443128056482
1226,Box culvert,N1,C,132.3536356082496
1227,Bridge start,N1,A,0.0
1228,Bridge end,N1,A,0.0
1230,Box culvert,N1,B,0.0
1231,Box culvert,N1,A,0.0
1232,Box culvert,N1,A,0.0
1234,Bridge start,N1,A,0.0
1235,Bridge end,N1,A,0.0
1237,Box culvert,N1,A,0.0
1238,Box culvert,N1,A,0.0
1240,Box culvert,N1,B,0.0
1241,Box culvert,N1,B,0.0
1242,Box culvert,N1,B,0.0
1244,Bridge start,N1,C,3481.6931247699595
1245,Bridge end,N1,C,129.101024948974
1246,Box culvert,N1,C,1319.143724891757
1248,Box culvert,N1,C,99.76563487496526
1250,Bridge start,N1,A,0.0
1251,Bridge end,N1,A,0.0
1253,Box culvert,N1,A,0.0
1255,Bridge start,N1,B,0.0
1256,Bridge end,N1,B,0.0
1257,Box culvert,N1,A,0.0
1258,Bridge start,N1,A,0.0
1259,Bridge end,N1,A,0.0
1261,Box culvert,N1,A,0.0
1262,Box culvert,N1,A,0.0
1263,Box culvert,N1,A,0.0
1264,Box culvert,N1,A,0.0
1265,Box culvert,N1,A,0.0
1267,Box culvert,N1,A,0.0
1268,Bridge start,N1,A,0.0
1269,Bridge end,N1,A,0.0
1270,Box culvert,N1,A,0.0
1272,Box culvert,N1,C,127.21933212116238
1273,Bridge start,N1,B,0.0
1274,Bridge end,N1,B,0.0
1276,Box culvert,N1,B,0.0
1277,Box culvert,N1,A,0.0
1278,Box culvert,N1,A,0.0
1279,Box culvert,N1,A,0.0
1280,Bridge start,N1,A,0.0
1281,Bridge end,N1,A,0.0
1283,Bridge start,N1,D,8544.19233195949
1284,Bridge end,N1,D,238.10071181344568
1285,Bridge start,N1,A,0.0
1286,Bridge end,N1,A,0.0
1287,Box Culvert,N1,A,0.0
1289,Box Culvert,N1,A,0.0
1290,Bridge start,N1,B,0.0
1291,Bridge end,N1,B,0.0
