bridge_id,bridge_name,road_name,condition,length,is_broken,total_wait_time
598,Bridge start,N1,A,66.99999999997885,False,0.0
600,Bridge end,N1,A,263.00000000000523,False,0.0
601,Box Culvert,N1,B,688.999999999993,False,0.0
605,Box culvert,N1,B,454.0000000000077,False,0.0
607,Box culvert,N1,A,871.9999999999857,False,0.0
609,Box culvert,N1,A,424.0000000000066,False,0.0
611,Box culvert,N1,A,167.99999999997794,False,0.0
612,Box culvert,N1,A,521.000000000015,False,0.0
613,Box culvert,N1,A,121.00000000003774,False,0.0
616,Box culvert,N1,A,250.0,False,0.0
619,Box culvert,N1,A,392.99999999997226,False,0.0
622,Bridge start,N1,B,52.00000000002092,False,0.0
623,Bridge end,N1,B,21.99999999999136,False,0.0
626,Slab Culvert,N1,Unknown,166.00000000005366,False,0.0
630,Box culvert,N1,A,21.000000000015007,False,0.0
633,Bridge start,N1,B,72.00000000000273,False,0.0
634,Bridge end,N1,B,25.000000000034102,False,0.0
637,Box Culvert,N1,B,925.0000000000114,False,0.0
639,Box culvert,N1,A,270.00000000003865,False,0.0
640,Box culvert,N1,A,515.9999999999627,False,0.0
642,Bridge start,N1,B,14.000000000010004,False,0.0
643,Bridge end,N1,B,233.99999999998045,False,0.0
644,Box Culvert,N1,B,125.99999999997635,False,0.0
646,Box culvert,N1,A,267.99999999997226,False,0.0
647,Box culvert,N1,A,329.00000000000773,False,0.0
649,Box culvert,N1,A,656.9999999999823,False,0.0
651,Box culvert,N1,A,478.999999999985,False,0.0
652,Box culvert,N1,A,139.00000000001,False,0.0
654,Box culvert,N1,B,178.99999999997362,False,0.0
655,Bridge start,N1,B,14.000000000010004,False,0.0
656,Bridge end,N1,B,216.00000000000816,False,0.0
658,Bridge start,N1,B,12.000000000000457,False,0.0
659,Bridge end,N1,B,437.0000000000118,False,0.0
660,Box culvert,N1,A,538.9999999999873,False,0.0
662,Box culvert,N1,A,515.0000000000432,False,0.0
665,Bridge start,N1,C,54.99999999994998,True,124130.55419119388
666,Bridge end,N1,C,286.00000000000136,False,0.0
667,Bridge start,N1,C,12.000000000000457,False,0.0
668,Bridge end,N1,C,105.0000000000182,False,0.0
